id_tanah,harga_penawaran,shm,lebar_jalan,jarak_jalan_utama,jarak_cbd,jenis_tanah,bentuk_tanah,luas_tanah,lebar_depan,kategori_kawasan,kontur,elevasi_sejajar,elevasi_lebih_tinggi,elevasi_lebih_rendah,kategori_kawasan
23,"2,700,000,000.00",1,5,250,2000,1,1,180,18,0,1,1,0,0,1
24,"590,100,000,000.00",0,8,0,1000,1,1,8430,98,1,1,1,0,0,1
25,"5,760,000,000.00",1,5,50,2700,1,1,360,14,0,1,1,0,0,0
26,"7,735,000,000.00",0,6,150,1100,1,1,442,21,0,1,1,0,0,0
27,"34,500,000,000.00",1,8,100,11000,1,0,2325,78,0,1,1,0,0,0
28,"2,700,000,000.00",1,5,250,2000,1,1,180,18,0,1,1,0,0,1
29,"9,326,250,000.00",1,4,300,400,1,1,373,15,0,1,1,0,0,1
30,"775,000,000.00",1,6,300,8000,1,0,155,11,0,1,1,0,0,0
31,"1,036,000,000.00",0,6,400,2000,1,1,296,10,0,1,1,0,0,1
32,"9,900,000,000.00",1,4,600,600,1,1,660,18,0,1,1,0,0,1
33,"14,445,000,000.00",0,5,1,1000,1,1,963,18,0,1,1,0,0,1
34,"5,640,000,000.00",1,5,600,600,1,1,564,15,0,1,1,0,0,1
35,"4,134,000,000.00",1,6,300,9000,1,0,636,16,0,1,1,0,0,0
36,"6,076,000,000.00",1,4,120,4000,1,0,1519,30,1,1,1,0,0,0
37,"5,335,000,000.00",0,6,600,600,1,1,194,8,1,1,1,0,0,1
38,"4,134,000,000.00",1,6,300,9000,1,0,636,16,0,1,1,0,0,0
39,"28,600,000,000.00",1,5,600,600,1,1,1300,50,1,1,1,0,0,1
40,"23,940,000,000.00",1,8,0,1000,1,0,342,13,1,1,1,0,0,1
41,"651,000,000.00",1,5,50,4000,1,1,93,8,1,1,1,0,0,0
42,"1,163,750,000,000.00",1,8,0,1000,1,1,11875,95,1,1,1,0,0,1
43,"18,000,000,000",1,6,300,3400,1,1,1100,31.5,0,1,1,0,0,0
44,"50,580,000,000.00",1,30,1,5000,1,0,843,23.5,1,1,1,0,0,1
45,"1,250,000,000.00",1,6,200,3000,1,0,125,10,1,1,1,0,0,1
46,"1,299,600,000.00",1,6,200,8000,1,1,342,12,0,1,1,0,0,0
47,"7,500,000,000.00",1,4,700,700,1,1,300,10,1,1,1,0,0,1
48,"7,500,000,000.00",1,6,600,600,1,1,300,15,1,1,1,0,0,1
49,"2,200,000,000.00",1,5.8,128,1000,1,1,86,6,0,1,1,0,0,1
50,"25,720,000,000.00",0,4,0,1300,1,0,1286,22,0,1,1,0,0,0
51,"5,500,000,000.00",1,6.6,330,1000,1,1,311,13,0,1,1,0,0,1
52,"21,000,000,000.00",1,6,5,1780,1,0,330,10,1,1,1,0,0,1
53,"7,514,000,000.00",0,7.5,0,157,1,0,442,18.7,0,1,1,0,0,1
54,"504,000,000.00",1,6,700,10000,1,1,72,6,0,1,1,0,0,0
55,"27,000,000,000.00",0,6.5,130,400,1,1,609,29,1,0,0,1,0,1
56,"240,000,000,000.00",0,6,100,4000,1,0,12000,100,1,1,0,0,1,1
57,"54,099,999,900.00",1,8,0,500,1,1,450,25,0,1,1,0,0,1
58,"18,761,900,000.00",0,7.4,74,400,1,1,503,43,1,1,0,1,0,1
59,"5,460,000,000.00",1,5,50,4000,1,1,1519,30,1,1,1,0,0,0
60,"3,235,000,000.00",1,4,50,11000,1,0,467,18,0,1,1,0,0,0
61,"3,600,000,000.00",1,3,300,4000,1,0,630,23.3,0,1,1,0,0,0
62,"6,730,000,000.00",1,6,200,8000,1,0,1364,19,0,1,1,0,0,0
63,"3,600,000,000.00",1,3,300,4000,1,0,630,23.3,0,1,1,0,0,0
64,"9,500,000,000.00",1,6,600,2000,1,0,600,15,1,1,1,0,0,1
65,"37,500,000,000.00",1,6.6,400,1000,1,1,2500,57,0,1,1,0,0,1
66,"1,657,500,000.00",0,2,200,2000,1,1,196,8,1,1,1,0,0,1
67,"518,000,000.00",1,6,200,2000,1,1,148,11.5,1,1,1,0,0,0
68,"518,000,000.00",1,6,200,2000,1,1,148,11.5,1,1,1,0,0,0
69,"15,000,000,000.00",0,6.2,227,780,1,1,1120,23.5,1,1,1,0,0,1
70,"33,250,000,000.00",0,14.5,0,930,1,1,1330,18,1,1,1,0,0,1
71,"11,364,000,000.00",1,4,450,2000,1,0,947,25,1,1,0,0,1,1
72,"4,009,500,000.00",1,4.5,1370,2000,1,1,297,37,1,1,1,0,0,1
73,"37,000,000,000.00",0,25,120,1000,1,1,453,50,1,1,1,0,0,1
74,"53,000,000,000.00",1,4,30,3000,1,0,1600,30,1,1,1,0,0,1
75,"3,500,000,000.00",1,6,200,4000,1,1,600,26,1,1,1,0,0,1
76,"3,912,000,000.00",1,4,300,300,1,1,163,8,0,1,1,0,0,1
77,"4,000,000,000.00",1,6,300,4000,1,0,370,9,1,1,1,0,0,1
78,"47,000,000,000.00",1,7,253,270,1,0,800,32,1,0,0,1,0,1
79,"10,000,000,000.00",1,6,20,1400,1,1,500,20,0,1,1,0,0,0
80,"4,200,000,000.00",1,8,600,2420,1,1,300,15,0,1,0,0,1,1
81,"1,500,000,000.00",1,3,100,700,1,0,140,7,0,1,1,0,0,0
82,"6,625,000,000.00",1,5,150,1300,1,1,530,16.5,0,1,1,0,0,0
83,"13,200,000,000.00",0,6.25,247,1170,1,1,300,14,1,1,0,1,0,1
84,"175,477,500,000.00",1,18.74,0,260,1,0,10635,41,1,1,1,0,0,1
85,"38,016,000,000.00",1,5.6,75,590,1,1,576,18,1,0,0,1,0,1
86,"3,639,500,000.00",1,8,1000,4000,1,1,251,12,1,1,1,0,0,1
87,"37,000,000,000.00",0,25,120,1000,1,1,453,50,1,1,1,0,0,1
88,"1,600,000,000.00",1,6,200,1500,1,1,139,6,0,1,1,0,0,0
89,"1,600,000,000.00",1,6,200,1500,1,1,139,6,0,1,1,0,0,0
90,"4,600,000,000.00",1,6,100,4000,1,1,14,8,1,1,1,0,0,1
91,"1,600,000,000.00",1,6,200,1500,1,1,139,6,0,1,1,0,0,0
92,"3,700,000,000.00",0,6,200,1500,1,1,309,10,0,1,1,0,0,0
93,"4,425,000,000.00",1,7,200,4000,1,1,300,10,1,1,0,1,0,1
94,"26,150,000,000.00",1,17.11,0,910,1,1,1046,20,1,1,1,0,0,1
95,"22,792,500,000.00",1,2,966,2500,1,0,1013,39.45,0,1,1,0,0,0
96,"22,792,500,000.00",1,2,966,2500,1,0,1013,39.45,0,1,1,0,0,0
97,"6,560,000,000.00",1,2.5,500,2000,1,1,820,32,0,1,1,0,0,0
98,"11,000,000,000.00",1,7,140,1000,1,1,606,21,1,1,1,0,0,1
99,"6,560,000,000.00",1,2.5,500,2000,1,1,820,32,0,1,1,0,0,0
100,"1,210,000,000.00",1,4,200,9000,1,1,242,10,0,1,1,0,0,0
101,"1,600,000,000.00",1,6,200,1500,1,1,134,6,0,1,1,0,0,0
102,"9,325,000,000.00",1,3.5,0,2300,1,1,373,18,0,1,1,0,0,0
103,"680,000,000.00",1,6,300,4000,1,1,105,8,1,1,1,0,0,0
104,"4,000,000,000.00",1,6,20,3000,1,0,160,8,1,1,1,0,0,1
105,"12,720,000,000.00",0,6,600,600,1,1,424,16,1,1,1,0,0,1
106,"2,249,000,000.00",1,7,53,740,1,1,173,14.4,0,1,1,0,0,1
107,"54,999,999,900.00",1,8,0,500,1,1,450,25,0,0,1,0,0,1
108,"57,000,000,000.00",1,4,50,3000,1,1,130,7,1,1,1,0,0,0
109,"13,500,000,000.00",1,5.26,71,940,1,1,1234,18,0,1,1,0,0,1
110,"54,378,900,000.00",1,6,500,3000,1,0,7659,50,0,1,1,0,0,1
111,"32,000,000,000.00",1,16.5,0,600,1,1,640,24,1,1,1,0,0,1
112,"1,700,000,000.00",1,6,200,1500,1,1,146,7,0,1,1,0,0,0
113,"1,657,500,000.00",1,6,50,4000,1,0,229,10,1,1,1,0,0,0
114,"16,500,000,000.00",1,8,1,2000,1,0,1000,29,0,1,1,0,0,1
115,"70,084,000,000.00",1,6,900,2420,1,1,2503,23,0,1,1,0,0,1
116,"4,500,000,000.00",1,6.3,70,1000,1,1,370,22,1,1,1,0,0,1
117,"12,787,500,000.00",1,5.6,184,1000,1,0,1023,7.8,0,1,1,0,0,1
