id_tanah,harga_penawaran,shm,lebar_jalan,jarak_jalan_utama,jarak_cbd,jenis_tanah,bentuk_tanah,luas_tanah,lebar_depan,kategori_kawasan,kontur,elevasi_sejajar,elevasi_lebih_tinggi,elevasi_lebih_rendah,kategori_kawasan
53,7514000000,0,7.5,0,157,1,0,442,18.7,0,1,1,0,0,1
54,504000000,1,6,700,10000,1,1,72,6,0,1,1,0,0,0
55,27000000000,0,6.5,130,400,1,1,609,29,1,0,0,1,0,1
56,240000000000,0,6,100,4000,1,0,12000,100,1,1,0,0,1,1
57,54099999900,1,8,0,500,1,1,450,25,0,1,1,0,0,1
58,18761900000,0,7.4,74,400,1,1,503,43,1,1,0,1,0,1
59,5460000000,1,5,50,4000,1,1,1519,30,1,1,1,0,0,0
60,3235000000,1,4,50,11000,1,0,467,18,0,1,1,0,0,0
61,3600000000,1,3,300,4000,1,0,630,23.3,0,1,1,0,0,0
62,6730000000,1,6,200,8000,1,0,1364,19,0,1,1,0,0,0
63,3600000000,1,3,300,4000,1,0,630,23.3,0,1,1,0,0,0
64,9500000000,1,6,600,2000,1,0,600,15,1,1,1,0,0,1
65,37500000000,1,6.6,400,1000,1,1,2500,57,0,1,1,0,0,1
66,1657500000,0,2,200,2000,1,1,196,8,1,1,1,0,0,1
67,518000000,1,6,200,2000,1,1,148,11.5,1,1,1,0,0,0
68,518000000,1,6,200,2000,1,1,148,11.5,1,1,1,0,0,0
69,15000000000,0,6.2,227,780,1,1,1120,23.5,1,1,1,0,0,1
70,33250000000,0,14.5,0,930,1,1,1330,18,1,1,1,0,0,1
71,11364000000,1,4,450,2000,1,0,947,25,1,1,0,0,1,1
72,4009500000,1,4.5,1370,2000,1,1,297,37,1,1,1,0,0,1
73,37000000000,0,25,120,1000,1,1,453,50,1,1,1,0,0,1
74,53000000000,1,4,30,3000,1,0,1600,30,1,1,1,0,0,1
75,3500000000,1,6,200,4000,1,1,600,26,1,1,1,0,0,1
76,3912000000,1,4,300,300,1,1,163,8,0,1,1,0,0,1
77,4000000000,1,6,300,4000,1,0,370,9,1,1,1,0,0,1
78,47000000000,1,7,253,270,1,0,800,32,1,0,0,1,0,1
79,10000000000,1,6,20,1400,1,1,500,20,0,1,1,0,0,0
80,4200000000,1,8,600,2420,1,1,300,15,0,1,0,0,1,1
81,1500000000,1,3,100,700,1,0,140,7,0,1,1,0,0,0
82,6625000000,1,5,150,1300,1,1,530,16.5,0,1,1,0,0,0
83,13200000000,0,6.25,247,1170,1,1,300,14,1,1,0,1,0,1
84,175477500000,1,18.74,0,260,1,0,10635,41,1,1,1,0,0,1
85,38016000000,1,5.6,75,590,1,1,576,18,1,0,0,1,0,1
86,3639500000,1,8,1000,4000,1,1,251,12,1,1,1,0,0,1
87,37000000000,0,25,120,1000,1,1,453,50,1,1,1,0,0,1
88,1600000000,1,6,200,1500,1,1,139,6,0,1,1,0,0,0
89,1600000000,1,6,200,1500,1,1,139,6,0,1,1,0,0,0
90,4600000000,1,6,100,4000,1,1,14,8,1,1,1,0,0,1
91,1600000000,1,6,200,1500,1,1,139,6,0,1,1,0,0,0
92,3700000000,0,6,200,1500,1,1,309,10,0,1,1,0,0,0
93,4425000000,1,7,200,4000,1,1,300,10,1,1,0,1,0,1
94,26150000000,1,17.11,0,910,1,1,1046,20,1,1,1,0,0,1
95,22792500000,1,2,966,2500,1,0,1013,39.45,0,1,1,0,0,0
96,22792500000,1,2,966,2500,1,0,1013,39.45,0,1,1,0,0,0
97,6560000000,1,2.5,500,2000,1,1,820,32,0,1,1,0,0,0
98,11000000000,1,7,140,1000,1,1,606,21,1,1,1,0,0,1
99,6560000000,1,2.5,500,2000,1,1,820,32,0,1,1,0,0,0
100,1210000000,1,4,200,9000,1,1,242,10,0,1,1,0,0,0
101,1600000000,1,6,200,1500,1,1,134,6,0,1,1,0,0,0
102,9325000000,1,3.5,0,2300,1,1,373,18,0,1,1,0,0,0
103,680000000,1,6,300,4000,1,1,105,8,1,1,1,0,0,0
104,4000000000,1,6,20,3000,1,0,160,8,1,1,1,0,0,1
105,12720000000,0,6,600,600,1,1,424,16,1,1,1,0,0,1
106,2249000000,1,7,53,740,1,1,173,14.4,0,1,1,0,0,1
107,54999999900,1,8,0,500,1,1,450,25,0,0,1,0,0,1
108,57000000000,1,4,50,3000,1,1,130,7,1,1,1,0,0,0
109,13500000000,1,5.26,71,940,1,1,1234,18,0,1,1,0,0,1
110,54378900000,1,6,500,3000,1,0,7659,50,0,1,1,0,0,1
111,32000000000,1,16.5,0,600,1,1,640,24,1,1,1,0,0,1
112,1700000000,1,6,200,1500,1,1,146,7,0,1,1,0,0,0
113,1657500000,1,6,50,4000,1,0,229,10,1,1,1,0,0,0
114,16500000000,1,8,1,2000,1,0,1000,29,0,1,1,0,0,1
115,70084000000,1,6,900,2420,1,1,2503,23,0,1,1,0,0,1
116,4500000000,1,6.3,70,1000,1,1,370,22,1,1,1,0,0,1
117,12787500000,1,5.6,184,1000,1,0,1023,7.8,0,1,1,0,0,1
